Complaint_ID,Customer_ID,RM_ID,Complaint_Type,Resolution_Time
CMP000001,CUST000910,RM0020,Billing Error,-5.0
CMP000002,CUST001957,RM0021,Staff Behavior,25.0
CMP000003,CUST001065,RM0103,Loan Disbursement,3.0
CMP000004,CUST002362,RM0179,Technical Issue,9.0
CMP000005,CUST000423,RM0146,Loan Disbursement,3.0
CMP000006,CUST001808,RM0105,Technical Issue,3.0
CMP000007,CUST000911,RM0184,Insurance Claim,2.0
CMP000008,CUST000173,,Product Issue,6.0
CMP000009,,RM0179,,3.0
CMP000010,CUST000652,RM0055,Loan Disbursement,2.0
CMP000011,CUST000724,RM0183,Loan Disbursement,3.0
CMP000012,CUST002411,RM0190,Billing Error,3.0
CMP000013,CUST000257,RM0214,Product Issue,5.0
CMP000014,CUST000135,RM0067,Product Issue,4.0
CMP000015,CUST001512,RM0096,Service Issue,2.0
CMP000016,CUST001584,RM0051,Account Access,5.0
CMP000017,CUST000728,RM0074,Service Issue,9.0
CMP000018,CUST001533,RM0213,Delay,6.0
CMP000019,CUST000425,,Product Issue,20.0
CMP000020,CUST000412,,Loan Disbursement,2.0
CMP000021,CUST000353,RM0106,Credit Card Issue,10.0
CMP000022,CUST000219,RM0017,Insurance Claim,5.0
CMP000023,,RM0194,Service Issue,5.0
CMP000024,CUST001889,RM0179,Billing Error,5.0
CMP000025,CUST001969,RM0057,Technical Issue,3.0
CMP000026,CUST000459,RM0115,Credit Card Issue,3.0
CMP000027,CUST001469,RM0123,Technical Issue,6.0
CMP000028,CUST000732,RM0209,Insurance Claim,2.0
CMP000029,CUST000974,RM0178,Insurance Claim,-5.0
CMP000030,CUST001809,RM0077,Delay,6.0
CMP000031,CUST001706,RM0250,Account Access,8.0
CMP000032,CUST001847,RM0029,Delay,4.0
CMP000033,CUST001474,RM0153,Staff Behavior,3.0
CMP000034,CUST001477,RM0064,Credit Card Issue,3.0
CMP000035,CUST000378,,Product Issue,2.0
CMP000036,CUST001129,RM0242,Account Access,2.0
CMP000037,CUST001144,RM0218,Staff Behavior,2.0
CMP000038,CUST000067,RM0095,Loan Disbursement,2.0
CMP000039,CUST002362,RM0118,Insurance Claim,3.0
CMP000040,CUST000187,RM0248,Credit Card Issue,3.0
CMP000041,,RM0081,,28.0
CMP000042,CUST002179,RM0033,Technical Issue,25.0
CMP000043,,RM0131,Billing Error,3.0
CMP000044,CUST000932,RM0221,Billing Error,3.0
CMP000045,CUST002211,RM0043,Account Access,5.0
CMP000046,CUST001465,RM0238,Insurance Claim,2.0
CMP000047,CUST002405,RM0140,Loan Disbursement,5.0
CMP000048,CUST001811,RM0016,,4.0
CMP000049,CUST001178,RM0169,Service Issue,3.0
CMP000050,CUST000554,RM0088,Staff Behavior,10.0
CMP000051,CUST000845,RM0164,Billing Error,10.0
CMP000052,CUST002215,RM0054,Account Access,24.0
CMP000053,CUST001301,RM0106,Staff Behavior,3.0
CMP000054,CUST001377,RM0120,Delay,12.0
CMP000055,CUST000579,RM0177,Staff Behavior,5.0
CMP000056,CUST001956,RM0174,Loan Disbursement,0.0
CMP000057,CUST000953,,Delay,6.0
CMP000058,CUST001748,RM0228,Loan Disbursement,13.0
CMP000059,CUST000580,RM0155,Technical Issue,16.0
CMP000060,CUST001454,RM0197,Billing Error,8.0
CMP000061,CUST000189,RM0118,Service Issue,4.0
CMP000062,CUST000406,RM0021,Loan Disbursement,5.0
CMP000063,CUST000056,RM0118,Product Issue,6.0
CMP000064,CUST001171,RM0074,Delay,10.0
CMP000065,CUST000657,RM0227,Staff Behavior,7.0
CMP000066,CUST000455,RM0050,Service Issue,4.0
CMP000067,,RM0126,Account Access,4.0
CMP000068,CUST001900,RM0100,,2.0
CMP000069,CUST002108,RM0181,Insurance Claim,14.0
CMP000070,CUST001311,RM0143,Staff Behavior,2.0
CMP000071,CUST000528,RM0002,Billing Error,6.0
CMP000072,CUST001205,RM0127,Technical Issue,12.0
CMP000073,CUST000955,RM0035,Account Access,4.0
CMP000074,CUST000491,RM0039,,10.0
CMP000075,CUST000355,RM0199,Service Issue,10.0
CMP000076,CUST000098,RM0212,Staff Behavior,2.0
CMP000077,CUST000651,RM0225,Insurance Claim,4.0
CMP000078,CUST000571,RM0021,Credit Card Issue,7.0
CMP000079,CUST001475,RM0143,Loan Disbursement,4.0
CMP000080,CUST000937,,Credit Card Issue,5.0
CMP000081,CUST002404,RM0108,Product Issue,6.0
CMP000082,CUST000140,RM0082,Loan Disbursement,2.0
CMP000083,CUST002317,RM0104,Account Access,4.0
CMP000084,CUST000056,RM0065,Staff Behavior,2.0
CMP000085,CUST002479,RM0071,Staff Behavior,2.0
CMP000086,CUST002447,,Staff Behavior,5.0
CMP000087,CUST001772,RM0153,Insurance Claim,6.0
CMP000088,CUST001629,RM0246,Insurance Claim,2.0
CMP000089,CUST000426,RM0170,Product Issue,9.0
CMP000090,CUST001928,RM0031,Insurance Claim,4.0
CMP000091,CUST000953,RM0136,Account Access,14.0
CMP000092,CUST001011,RM0157,Product Issue,4.0
CMP000093,CUST002025,RM0028,Billing Error,2.0
CMP000094,CUST002202,RM0188,Billing Error,9.0
CMP000095,CUST000216,RM0015,Product Issue,6.0
CMP000096,CUST000276,RM0075,Loan Disbursement,4.0
CMP000097,CUST001457,,Delay,4.0
