Customer_ID,RM_ID,Age,Gender,City,Income,Segment
CUST000001,RM0043,55,F,Hyderabad,42010,
CUST000002,RM0118,70,M,Jaipur,235309,Bronze
CUST000003,RM0094,21,M,Chennai,25367,Bronze
CUST000004,RM0009,50,M,Lucknow,28294,Premium
CUST000005,RM0221,32,M,Lucknow,30324,Gold
CUST000006,RM0072,34,M,Kolkata,36780,Silver
CUST000007,RM0071,42,M,Kolkata,46415,Gold
CUST000008,RM0148,29,M,Hyderabad,221932,Bronze
CUST000009,RM0225,38,M,Ahmedabad,194452,Silver
CUST000010,RM0179,28,M,Pune,120312,Platinum
CUST000011,RM0087,33,M,,29369,Bronze
CUST000012,RM0215,53,,Chennai,75227,Gold
CUST000013,RM0233,43,M,Hyderabad,62386,Gold
CUST000014,RM0171,53,M,Delhi,36423,Bronze
CUST000015,RM0001,32,M,,39554,Platinum
CUST000016,RM0031,50,M,Delhi,47707,Gold
CUST000017,RM0095,18,M,Mumbai,26099,Gold
CUST000018,RM0043,42,F,Delhi,67159,Gold
CUST000019,RM0036,51,M,Delhi,28383,Bronze
CUST000020,RM0154,18,F,Lucknow,52806,Premium
CUST000021,RM0192,32,F,Delhi,40519,Gold
CUST000022,RM0004,42,F,Bangalore,27217,Gold
CUST000023,RM0245,57,M,Kolkata,34694,Platinum
CUST000024,RM0161,33,M,Hyderabad,77207,Bronze
CUST000025,,49,M,Kolkata,51892,Gold
CUST000026,RM0217,63,M,Bangalore,46537,Bronze
CUST000027,RM0182,50,F,Bangalore,108780,
CUST000028,RM0224,38,M,Lucknow,187658,Premium
CUST000029,RM0128,47,M,Delhi,159306,Bronze
CUST000030,RM0173,32,M,Ahmedabad,29997,platinum
CUST000031,RM0236,43,F,Chennai,62721,Premium
CUST000032,RM0185,39,M,Jaipur,112203,Platinum
CUST000033,RM0245,47,M,Mumbai,31258,Silver
CUST000034,RM0075,35,F,Chennai,28935,Platinum
CUST000035,RM0140,47,F,Mumbai,74710,Premium
CUST000036,RM0001,35,M,Mumbai,57018,Silver
CUST000037,RM0037,55,F,Delhi,44915,Gold
CUST000038,RM0130,37,M,Hyderabad,104804,Premium
CUST000039,RM0238,18,M,Bangalore,51058,Silver
CUST000040,RM0150,26,F,Chennai,37932,Bronze
CUST000041,RM0119,42,M,Pune,33212,Gold
CUST000042,RM0183,67,M,,134916,Platinum
CUST000043,RM0116,54,M,Mumbai,138474,Premium
CUST000044,RM0057,18,M,Hyderabad,68939,Silver
CUST000045,RM0020,19,F,Ahmedabad,-1000,Bronze
CUST000046,,59,F,Chennai,27498,Bronze
CUST000047,RM0071,49,F,Jaipur,58120,Premium
CUST000048,RM0023,60,M,Jaipur,132165,Gold
CUST000049,RM0098,34,F,Bangalore,38678,Platinum
CUST000050,,48,F,Lucknow,34283,
CUST000051,RM0250,64,M,Chennai,124683,Gold
CUST000052,RM0205,48,F,Mumbai,40933,Gold
CUST000053,RM0091,61,F,Bangalore,28121,Platinum
CUST000054,RM0024,35,,Chennai,33019,Premium
CUST000055,RM0088,56,M,Jaipur,71242,Silver
CUST000056,RM0246,56,F,Bangalore,79200,Bronze
CUST000057,RM0112,18,F,Lucknow,41209,Silver
CUST000058,RM0097,46,,Lucknow,30020,Gold
CUST000059,RM0198,44,M,Delhi,45612,
CUST000060,RM0037,54,M,Pune,50995,Silver
CUST000061,RM0068,44,M,,67267,Silver
CUST000062,RM0108,80,F,Ahmedabad,20913,Bronze
CUST000063,RM0148,68,M,Pune,147873,Gold
CUST000064,RM0027,50,M,Lucknow,81419,Bronze
CUST000065,RM0181,45,M,Chennai,66661,Gold
CUST000066,RM0105,24,M,Kolkata,47593,Platinum
CUST000067,RM0216,44,F,Mumbai,149893,Premium
CUST000068,RM0164,43,F,Hyderabad,49968,Premium
CUST000069,RM0140,80,F,Hyderabad,45458,Bronze
CUST000070,RM0069,49,F,Lucknow,22815,Premium
CUST000071,RM0016,58,F,Chennai,20232,Bronze
CUST000072,RM0021,33,M,Ahmedabad,40285,Premium
CUST000073,RM0043,54,F,Bangalore,146196,Gold
CUST000074,RM0067,18,F,Jaipur,41258,Premium
CUST000075,RM0224,61,M,Lucknow,8888888,Gold
CUST000076,RM0202,29,F,Ahmedabad,50093,Silver
CUST000077,,38,F,Pune,27590,Platinum
CUST000078,RM0013,19,F,Ahmedabad,29702,silver
CUST000079,RM0176,18,F,Kolkata,143164,Gold
CUST000080,RM0023,41,F,Jaipur,42501,Bronze
CUST000081,RM0017,69,M,Chennai,20659,Gold
CUST000082,RM0064,58,F,Delhi,74463,Silver
CUST000083,RM0062,37,F,Hyderabad,24460,Gold
CUST000084,RM0177,25,M,Chennai,308404,
CUST000085,RM0069,80,M,Mumbai,23471,Premium
CUST000086,RM0156,42,F,Chennai,89306,Silver
CUST000087,RM0174,44,F,Lucknow,31479,Platinum
CUST000088,RM0077,39,F,Hyderabad,30578,Silver
CUST000089,RM0133,41,M,Ahmedabad,61602,Platinum
CUST000090,RM0067,33,M,Chennai,23398,Premium
CUST000091,RM0164,38,M,Ahmedabad,57157,Silver
CUST000092,RM0067,64,M,Chennai,49059,Gold
CUST000093,RM0079,60,M,Lucknow,28435,Silver
CUST000094,RM0159,18,F,Bangalore,30040,Platinum
CUST000095,RM0052,20,M,Ahmedabad,71641,Bronze
CUST000096,RM0046,30,M,Bangalore,46274,Bronze
CUST000097,RM0196,56,F,Mumbai,21373,Bronze
CUST000098,RM0188,61,M,,32549,
CUST000099,,52,F,Mumbai,20995,Silver
CUST000100,RM0075,25,M,Ahmedabad,25496,Platinum
CUST000101,RM0049,34,M,Mumbai,72884,bronze
CUST000102,RM0044,49,M,Mumbai,33602,Premium
CUST000103,RM0168,38,M,Ahmedabad,84054,
CUST000104,RM0053,36,F,Bangalore,116791,Silver
CUST000105,RM0231,36,F,Chennai,75143,Premium
CUST000106,RM0213,59,F,Ahmedabad,31469,Bronze
CUST000107,RM0001,50,M,Delhi,-1000,Platinum
CUST000108,RM0026,37,F,Bangalore,20654,Bronze
CUST000109,RM0219,18,M,,131593,Silver
CUST000110,RM0166,68,M,Pune,105034,Bronze
CUST000111,RM0103,23,F,Bangalore,43876,Bronze
CUST000112,RM0179,29,F,Ahmedabad,64615,Gold
CUST000113,RM0098,53,F,Delhi,46331,Gold
CUST000114,RM0081,20,M,Chennai,-5000,Silver
CUST000115,RM0170,18,M,Bangalore,37439,Platinum
CUST000116,RM0121,67,F,Mumbai,168263,Premium
CUST000117,RM0141,33,F,Ahmedabad,121425,Gold
CUST000118,RM0031,47,M,Lucknow,53416,Premium
CUST000119,RM0164,43,F,Mumbai,47687,Gold
CUST000120,RM0217,44,F,Delhi,21136,Platinum
CUST000121,RM0169,46,M,,70184,Silver
CUST000122,RM0036,18,M,Kolkata,34912,Bronze
CUST000123,RM0212,44,M,Ahmedabad,228031,Premium
CUST000124,RM0151,39,F,Ahmedabad,57294,bronze
CUST000125,RM0200,33,M,Lucknow,20928,Platinum
CUST000126,RM0083,30,F,Pune,142844,Platinum
CUST000127,RM0116,44,F,Jaipur,36014,Platinum
CUST000128,RM0183,27,F,Bangalore,60391,Gold
CUST000129,RM0167,57,M,Jaipur,31560,Platinum
CUST000130,RM0147,49,M,Mumbai,20552,Platinum
CUST000131,RM0014,45,M,Hyderabad,65879,Gold
CUST000132,RM0139,56,M,Jaipur,74686,Premium
CUST000133,RM0131,18,F,Pune,56585,Silver
CUST000134,RM0014,22,F,Jaipur,9999999,Bronze
CUST000135,RM0051,36,M,Bangalore,66210,Silver
CUST000136,RM0031,44,F,,34075,Platinum
CUST000137,RM0240,19,F,Lucknow,41977,Silver
CUST000138,RM0019,30,M,Jaipur,83478,Gold
CUST000139,RM0090,50,F,Mumbai,52317,Silver
CUST000140,RM0089,18,M,Pune,74483,Platinum
CUST000141,RM0204,43,F,Jaipur,32099,Platinum
CUST000142,RM0012,44,M,Jaipur,21583,Silver
CUST000143,RM0161,51,M,Kolkata,22639,Gold
CUST000144,RM0241,19,M,Bangalore,54295,Premium
CUST000145,RM0143,18,F,Mumbai,93682,Silver
CUST000146,RM0031,56,M,Delhi,25635,Platinum
CUST000147,RM0129,44,F,Mumbai,54208,Silver
CUST000148,RM0137,36,F,Pune,78302,Platinum
CUST000149,RM0003,18,F,Delhi,105491,Premium
CUST000150,RM0192,35,M,Chennai,100326,Gold
CUST000151,RM0065,25,F,Delhi,64608,Platinum
CUST000152,RM0018,55,M,Chennai,42390,Platinum
CUST000153,RM0159,22,F,Bangalore,59033,Bronze
CUST000154,RM0094,38,M,Kolkata,123157,gold
CUST000155,RM0093,54,F,Delhi,73761,Bronze
CUST000156,RM0156,51,M,Mumbai,78927,Gold
CUST000157,RM0162,35,M,Jaipur,53610,Bronze
CUST000158,RM0139,51,F,Jaipur,32500,Silver
CUST000159,RM0102,54,M,Bangalore,21726,
CUST000160,RM0046,44,F,,79770,Gold
CUST000161,RM0060,48,F,Ahmedabad,197123,Premium
CUST000162,RM0011,38,F,Lucknow,164358,Platinum
CUST000163,RM0168,58,M,Pune,113071,Premium
CUST000164,RM0089,40,F,Delhi,39217,platinum
CUST000165,RM0072,20,M,Pune,26423,Silver
CUST000166,RM0124,49,M,Bangalore,24003,Platinum
CUST000167,RM0042,26,M,Kolkata,84506,Platinum
CUST000168,RM0145,61,F,Bangalore,23379,Silver
CUST000169,RM0106,48,M,Pune,98204,Gold
CUST000170,RM0153,18,,Jaipur,39191,Bronze
CUST000171,RM0212,55,M,Bangalore,67837,Bronze
CUST000172,RM0139,46,M,Kolkata,33260,Bronze
CUST000173,RM0206,52,M,Hyderabad,100168,Silver
CUST000174,RM0060,42,M,,329109,Platinum
CUST000175,RM0002,60,F,Delhi,45702,Premium
CUST000176,RM0167,31,F,Kolkata,52684,Platinum
CUST000177,RM0106,55,F,Lucknow,227019,Gold
CUST000178,RM0181,46,M,Jaipur,93109,Premium
CUST000179,RM0087,18,M,Bangalore,86890,Premium
CUST000180,RM0154,18,F,Kolkata,33641,Gold
CUST000181,RM0134,37,F,Chennai,36930,Premium
CUST000182,RM0239,29,M,Mumbai,37570,Premium
CUST000183,RM0168,18,F,Chennai,-5000,Silver
CUST000184,RM0189,23,F,Hyderabad,76916,Platinum
CUST000185,RM0247,56,M,Jaipur,164778,platinum
CUST000186,RM0243,38,F,Kolkata,51499,Silver
CUST000187,RM0198,25,M,Hyderabad,256472,Bronze
CUST000188,,47,F,Mumbai,33176,Gold
CUST000189,RM0068,44,F,Chennai,66791,Silver
CUST000190,RM0069,49,M,Chennai,55942,Gold
CUST000191,RM0214,32,M,Ahmedabad,32454,Gold
CUST000192,RM0196,34,F,Jaipur,30316,Bronze
CUST000193,RM0057,32,M,Kolkata,22979,Platinum
CUST000194,RM0199,59,M,Kolkata,193854,Platinum
CUST000195,RM0084,63,F,Pune,79539,Gold
CUST000196,RM0128,33,F,Bangalore,28355,Silver
CUST000197,RM0176,33,F,Bangalore,32668,Silver
CUST000198,RM0003,51,F,Jaipur,58498,Platinum
CUST000199,RM0013,65,M,Pune,24797,Premium
CUST000200,RM0093,68,F,Lucknow,124966,Silver
CUST000201,RM0148,32,F,Ahmedabad,129797,Silver
CUST000202,RM0098,36,F,Lucknow,175783,Gold
CUST000203,RM0218,46,F,Lucknow,73245,Silver
CUST000204,RM0070,47,F,Bangalore,60020,Silver
CUST000205,RM0033,39,M,Ahmedabad,43315,Premium
CUST000206,RM0007,30,M,Kolkata,35038,Premium
CUST000207,RM0064,41,M,,24225,Gold
CUST000208,RM0235,68,M,Jaipur,32434,Platinum
CUST000209,RM0153,34,F,Ahmedabad,115259,Platinum
CUST000210,RM0207,45,M,Bangalore,54174,Bronze
CUST000211,RM0121,79,M,Hyderabad,107057,Bronze
CUST000212,RM0204,34,F,Chennai,9999999,Platinum
CUST000213,RM0109,61,F,Jaipur,61704,Platinum
