RM_ID,Month,Target,Achievement
RM0001,2023-01,204208.0,156604.0
RM0001,2023-03,62458.0,85117.0
RM0001,2023-04,142154.0,161305.0
RM0001,2023-05,141155.0,230864.0
RM0001,2023-06,172719.0,291016.0
RM0001,2023-07,157178.0,116136.0
RM0001,2023-08,115878.0,125518.0
RM0001,2023-10,163250.0,217286.0
RM0001,2023-11,0.0,0.0
RM0001,2023-12,211311.0,310179.0
RM0001,2024-01,219326.0,224313.0
RM0001,2024-03,768375.0,697084.0
RM0001,2024-04,66906.0,102517.0
RM0001,2024-05,85776.0,117506.0
RM0001,2024-06,79580.0,25888.0
RM0001,2024-07,,
RM0001,2024-08,-10000.0,0.0
RM0001,2024-09,120978.0,-5000.0
RM0001,2024-10,66911.0,39913.0
RM0001,2024-11,266987.0,388419.0
RM0001,2024-12,305141.0,476548.0
RM0002,2023-01,131821.0,211088.0
RM0002,2023-02,161962.0,162916.0
RM0002,2023-03,240162.0,149075.0
RM0002,2023-04,283738.0,267905.0
RM0002,2023-05,70423.0,33730.0
RM0002,2023-06,77031.0,126011.0
RM0002,2023-07,755546.0,631228.0
RM0002,2023-08,101827.0,63963.0
RM0002,2023-09,310434.0,190547.0
RM0002,2023-10,436731.0,568198.0
RM0002,2023-11,391140.0,442385.0
RM0002,2023-12,226006.0,277803.0
RM0002,2024-01,316852.0,492321.0
RM0002,2024-02,183664.0,229352.0
RM0002,2024-03,432418.0,732861.0
RM0002,2024-04,213708.0,66598.0
RM0002,2024-05,66541.0,105594.0
RM0002,2024-06,63277.0,39249.0
RM0002,2024-07,,
RM0002,2024-08,89311.0,107204.0
RM0002,2024-09,178927.0,131355.0
RM0002,2024-10,84905.0,122840.0
RM0002,2024-11,461061.0,174838.0
RM0002,2024-12,71438.0,90243.0
RM0003,2023-01,294784.0,438279.0
RM0003,2023-02,240775.0,392738.0
RM0003,2023-03,86760.0,39990.0
RM0003,2023-04,193318.0,296436.0
RM0003,2023-05,180856.0,315502.0
RM0003,2023-06,288125.0,389310.0
RM0003,2023-07,59322.0,27383.0
RM0003,2023-08,280454.0,167531.0
RM0003,2023-09,54388.0,90618.0
RM0003,2023-10,382193.0,239912.0
RM0003,2023-11,277259.0,103131.0
RM0003,2023-12,100333.0,-5000.0
RM0003,2024-01,196592.0,284029.0
RM0003,2024-02,51568.0,40703.0
