Complaint_ID,Customer_ID,RM_ID,Complaint_Type,Resolution_Time,Resolution_Status
CMP000001,CUST000910,RM0020,Billing Error,5.0,Quick
CMP000002,CUST001957,RM0021,Staff Behavior,25.0,Normal
CMP000003,CUST001065,RM0103,Loan Disbursement,3.0,Quick
CMP000004,CUST002362,RM0179,Technical Issue,9.0,Normal
CMP000005,CUST000423,RM0146,Loan Disbursement,3.0,Quick
CMP000006,CUST001808,RM0105,Technical Issue,3.0,Quick
CMP000007,CUST000911,RM0184,Insurance Claim,2.0,Quick
CMP000008,CUST000173,RM0147,Product Issue,6.0,Quick
CMP000009,CUST002161,RM0179,Technical Issue,3.0,Quick
CMP000010,CUST000652,RM0055,Loan Disbursement,2.0,Quick
CMP000011,CUST000724,RM0183,Loan Disbursement,3.0,Quick
CMP000012,CUST002411,RM0190,Billing Error,3.0,Quick
CMP000013,CUST000257,RM0214,Product Issue,5.0,Quick
CMP000014,CUST000135,RM0067,Product Issue,4.0,Quick
CMP000015,CUST001512,RM0096,Service Issue,2.0,Quick
CMP000016,CUST001584,RM0051,Account Access,5.0,Quick
CMP000017,CUST000728,RM0074,Service Issue,9.0,Normal
CMP000018,CUST001533,RM0213,Delay,6.0,Quick
CMP000019,CUST000425,RM0189,Product Issue,20.0,Normal
CMP000020,CUST000412,RM0146,Loan Disbursement,2.0,Quick
CMP000021,CUST000353,RM0106,Credit Card Issue,10.0,Normal
CMP000022,CUST000219,RM0017,Insurance Claim,5.0,Quick
CMP000023,CUST001387,RM0194,Service Issue,5.0,Quick
CMP000024,CUST001889,RM0179,Billing Error,5.0,Quick
CMP000025,CUST001969,RM0057,Technical Issue,3.0,Quick
CMP000026,CUST000459,RM0115,Credit Card Issue,3.0,Quick
CMP000027,CUST001469,RM0123,Technical Issue,6.0,Quick
CMP000028,CUST000732,RM0209,Insurance Claim,2.0,Quick
CMP000029,CUST000974,RM0178,Insurance Claim,4.0,Quick
CMP000030,CUST001809,RM0077,Delay,6.0,Quick
CMP000031,CUST001706,RM0250,Account Access,8.0,Normal
CMP000032,CUST001847,RM0029,Delay,4.0,Quick
CMP000033,CUST001474,RM0153,Staff Behavior,3.0,Quick
CMP000034,CUST001477,RM0064,Credit Card Issue,3.0,Quick
CMP000035,CUST000378,RM0152,Product Issue,2.0,Quick
CMP000036,CUST001129,RM0242,Account Access,2.0,Quick
CMP000037,CUST001144,RM0218,Staff Behavior,2.0,Quick
CMP000038,CUST000067,RM0095,Loan Disbursement,2.0,Quick
CMP000039,CUST002362,RM0118,Insurance Claim,3.0,Quick
CMP000040,CUST000187,RM0248,Credit Card Issue,3.0,Quick
CMP000041,CUST001433,RM0081,Loan Disbursement,28.0,Normal
CMP000042,CUST002179,RM0033,Technical Issue,25.0,Normal
CMP000043,CUST001415,RM0131,Billing Error,3.0,Quick
CMP000044,CUST000932,RM0221,Billing Error,3.0,Quick
CMP000045,CUST002211,RM0043,Account Access,5.0,Quick
CMP000046,CUST001465,RM0238,Insurance Claim,2.0,Quick
CMP000047,CUST002405,RM0140,Loan Disbursement,5.0,Quick
CMP000048,CUST001811,RM0016,Loan Disbursement,4.0,Quick
CMP000049,CUST001178,RM0169,Service Issue,3.0,Quick
CMP000050,CUST000554,RM0088,Staff Behavior,10.0,Normal
CMP000051,CUST000845,RM0164,Billing Error,10.0,Normal
CMP000052,CUST002215,RM0054,Account Access,24.0,Normal
CMP000053,CUST001301,RM0106,Staff Behavior,3.0,Quick
CMP000054,CUST001377,RM0120,Delay,12.0,Normal
CMP000055,CUST000579,RM0177,Staff Behavior,5.0,Quick
CMP000056,CUST001956,RM0174,Loan Disbursement,0.0,Quick
CMP000057,CUST000953,RM0100,Delay,6.0,Quick
CMP000058,CUST001748,RM0228,Loan Disbursement,13.0,Normal
CMP000059,CUST000580,RM0155,Technical Issue,16.0,Normal
CMP000060,CUST001454,RM0197,Billing Error,8.0,Normal
CMP000061,CUST000189,RM0118,Service Issue,4.0,Quick
CMP000062,CUST000406,RM0021,Loan Disbursement,5.0,Quick
CMP000063,CUST000056,RM0118,Product Issue,6.0,Quick
CMP000064,CUST001171,RM0074,Delay,10.0,Normal
CMP000065,CUST000657,RM0227,Staff Behavior,7.0,Quick
CMP000066,CUST000455,RM0050,Service Issue,4.0,Quick
CMP000067,CUST001263,RM0126,Account Access,4.0,Quick
CMP000068,CUST001900,RM0100,Loan Disbursement,2.0,Quick
CMP000069,CUST002108,RM0181,Insurance Claim,14.0,Normal
CMP000070,CUST001311,RM0143,Staff Behavior,2.0,Quick
CMP000071,CUST000528,RM0002,Billing Error,6.0,Quick
CMP000072,CUST001205,RM0127,Technical Issue,12.0,Normal
CMP000073,CUST000955,RM0035,Account Access,4.0,Quick
CMP000074,CUST000491,RM0039,Billing Error,10.0,Normal
CMP000075,CUST000355,RM0199,Service Issue,10.0,Normal
CMP000076,CUST000098,RM0212,Staff Behavior,2.0,Quick
CMP000077,CUST000651,RM0225,Insurance Claim,4.0,Quick
CMP000078,CUST000571,RM0021,Credit Card Issue,7.0,Quick
CMP000079,CUST001475,RM0143,Loan Disbursement,4.0,Quick
CMP000080,CUST000937,RM0177,Credit Card Issue,5.0,Quick
CMP000081,CUST002404,RM0108,Product Issue,6.0,Quick
CMP000082,CUST000140,RM0082,Loan Disbursement,2.0,Quick
CMP000083,CUST002317,RM0104,Account Access,4.0,Quick
CMP000084,CUST000056,RM0065,Staff Behavior,2.0,Quick
CMP000085,CUST002479,RM0071,Staff Behavior,2.0,Quick
CMP000086,CUST002447,RM0016,Staff Behavior,5.0,Quick
CMP000087,CUST001772,RM0153,Insurance Claim,6.0,Quick
CMP000088,CUST001629,RM0246,Insurance Claim,2.0,Quick
CMP000089,CUST000426,RM0170,Product Issue,9.0,Normal
CMP000090,CUST001928,RM0031,Insurance Claim,4.0,Quick
CMP000091,CUST000953,RM0136,Account Access,14.0,Normal
CMP000092,CUST001011,RM0157,Product Issue,4.0,Quick
CMP000093,CUST002025,RM0028,Billing Error,2.0,Quick
CMP000094,CUST002202,RM0188,Billing Error,9.0,Normal
CMP000095,CUST000216,RM0015,Product Issue,6.0,Quick
CMP000096,CUST000276,RM0075,Loan Disbursement,4.0,Quick
CMP000097,CUST001457,RM0189,Delay,4.0,Quick
CMP000098,CUST002483,RM0060,Delay,2.0,Quick
CMP000099,CUST000973,RM0112,Service Issue,4.0,Quick
CMP000100,CUST001432,RM0038,Product Issue,2.0,Quick
CMP000101,CUST001859,RM0110,Product Issue,5.0,Quick
CMP000102,CUST001900,RM0138,Insurance Claim,13.0,Normal
CMP000103,CUST000244,RM0123,Service Issue,9.0,Normal
CMP000104,CUST000947,RM0219,Account Access,2.0,Quick
CMP000105,CUST000458,RM0194,Billing Error,12.0,Normal
CMP000106,CUST000680,RM0163,Technical Issue,5.0,Quick
CMP000107,CUST000549,RM0028,Billing Error,3.0,Quick
CMP000108,CUST000334,RM0226,Loan Disbursement,8.0,Normal
CMP000109,CUST002460,RM0145,Technical Issue,3.0,Quick
CMP000110,CUST000478,RM0020,Product Issue,5.0,Quick
CMP000111,CUST001526,RM0038,Service Issue,3.0,Quick
CMP000112,CUST002132,RM0228,Service Issue,2.0,Quick
CMP000113,CUST001392,RM0235,Service Issue,5.0,Quick
CMP000114,CUST001245,RM0029,Product Issue,2.0,Quick
CMP000115,CUST001930,RM0064,Service Issue,5.0,Quick
CMP000116,CUST002018,RM0062,Credit Card Issue,9.0,Normal
CMP000117,CUST002229,RM0222,Billing Error,5.0,Quick
CMP000118,CUST000643,RM0134,Insurance Claim,4.0,Quick
CMP000119,CUST001542,RM0169,Delay,2.0,Quick
CMP000120,CUST000460,RM0087,Loan Disbursement,10.0,Normal
CMP000121,CUST002243,RM0060,Loan Disbursement,5.0,Quick
CMP000122,CUST001673,RM0201,Insurance Claim,4.0,Quick
CMP000123,CUST001029,RM0220,Staff Behavior,9.0,Normal
CMP000124,CUST000949,RM0222,Technical Issue,2.0,Quick
CMP000125,CUST001524,RM0144,Account Access,4.0,Quick
CMP000126,CUST001934,RM0179,Staff Behavior,5.0,Quick
CMP000127,CUST001719,RM0001,Insurance Claim,6.0,Quick
CMP000128,CUST000773,RM0236,Staff Behavior,0.0,Quick
CMP000129,CUST000570,RM0160,Delay,5.0,Quick
CMP000130,CUST000860,RM0070,Credit Card Issue,3.0,Quick
CMP000131,CUST002097,RM0020,Technical Issue,3.0,Quick
CMP000132,CUST001253,RM0186,Technical Issue,3.0,Quick
CMP000133,CUST002381,RM0119,Credit Card Issue,26.0,Normal
CMP000134,CUST000737,RM0188,Billing Error,3.0,Quick
CMP000135,CUST001635,RM0106,Product Issue,3.0,Quick
CMP000136,CUST000107,RM0114,Insurance Claim,10.0,Normal
CMP000137,CUST000133,RM0004,Insurance Claim,4.0,Quick
CMP000138,CUST001570,RM0027,Technical Issue,4.0,Quick
CMP000139,CUST001719,RM0211,Insurance Claim,0.0,Quick
CMP000140,CUST001037,RM0198,Insurance Claim,5.0,Quick
CMP000141,CUST000933,RM0137,Staff Behavior,6.0,Quick
CMP000142,CUST001254,RM0191,Product Issue,0.0,Quick
CMP000143,CUST001634,RM0116,Service Issue,6.0,Quick
CMP000144,CUST001760,RM0167,Billing Error,2.0,Quick
CMP000145,CUST001072,RM0122,Service Issue,10.0,Normal
CMP000146,CUST002056,RM0058,Billing Error,3.0,Quick
