Loan_ID,Customer_ID,RM_ID,Loan_Type,Loan_Amount,Loan_Status
LN0000001,CUST001246,RM0055,Business Loan,211531,Rejected
LN0000002,CUST000953,RM0019,Education Loan,88352,Active
LN0000003,CUST000196,RM0057,Plot Loan,145189,Pending
LN0000004,CUST000709,RM0228,Business Loan,420486,Active
LN0000005,CUST002271,RM0155,Plot Loan,256684,Approved
LN0000006,CUST001175,RM0241,Business Loan,260378,Closed
LN0000007,CUST001883,RM0225,Personal Loan,453212,Pending
LN0000008,CUST001947,RM0068,Education Loan,498812,Active
LN0000009,CUST001824,RM0077,Personal Loan,554627,Closed
LN0000010,CUST002410,RM0215,Car Loan,69930,Pending
LN0000011,CUST001463,RM0039,Personal Loan,207107,Defaulted
LN0000012,CUST001732,RM0088,Personal Loan,319807,Pending
LN0000013,CUST000056,RM0010,Gold Loan,332878,Active
LN0000014,CUST001261,RM0193,Business Loan,236644,Approved
LN0000015,CUST002424,RM0214,Gold Loan,86493,Approved
LN0000016,CUST001835,RM0071,Education Loan,369324,Active
LN0000017,CUST001673,RM0172,Gold Loan,99856,Pending
LN0000018,CUST000604,RM0005,Car Loan,304672,Approved
LN0000019,CUST002158,RM0018,Personal Loan,68014,Active
LN0000020,CUST000762,RM0233,Education Loan,174653,Approved
LN0000021,CUST000716,RM0018,Home Loan,88226,Pending
LN0000022,CUST001373,RM0116,Home Loan,132340,Rejected
LN0000023,CUST001391,RM0117,Personal Loan,53649,Defaulted
LN0000024,CUST000069,RM0192,Plot Loan,152275,Rejected
LN0000025,CUST001464,RM0138,Education Loan,209646,Pending
LN0000026,CUST000392,RM0249,Personal Loan,243297,Active
LN0000027,CUST001532,RM0231,Plot Loan,267825,Closed
LN0000028,CUST002160,RM0094,Business Loan,411933,Approved
LN0000029,CUST000238,RM0134,Home Loan,98532,Approved
LN0000030,CUST001353,RM0133,Education Loan,75676,Approved
LN0000031,CUST002204,RM0219,Business Loan,431484,Rejected
LN0000032,CUST000228,RM0246,Personal Loan,84065,Rejected
LN0000033,CUST000709,RM0041,Education Loan,785865,Closed
LN0000034,CUST000214,RM0189,Personal Loan,419714,Closed
LN0000035,CUST000357,RM0103,Gold Loan,188980,Closed
LN0000036,CUST000258,RM0010,Education Loan,847149,Active
LN0000037,CUST000409,RM0158,Business Loan,70490,Defaulted
LN0000038,CUST001667,RM0182,Car Loan,122212,Approved
LN0000039,CUST000753,RM0026,Business Loan,253346,Closed
LN0000040,CUST001257,RM0240,Education Loan,136158,Rejected
LN0000041,CUST001559,RM0024,Plot Loan,504197,Pending
LN0000042,CUST001710,RM0237,Education Loan,577255,Rejected
LN0000043,CUST001561,RM0146,Personal Loan,63575,Defaulted
LN0000044,CUST000354,RM0003,Gold Loan,209440,Rejected
LN0000045,CUST000531,RM0142,Personal Loan,228742,Rejected
LN0000046,CUST001095,RM0158,Business Loan,261529,Active
LN0000047,CUST001433,RM0086,Gold Loan,109053,Rejected
LN0000048,CUST001274,RM0234,Education Loan,140689,Defaulted
LN0000049,CUST000711,RM0213,Plot Loan,421170,Pending
LN0000050,CUST001635,RM0156,Car Loan,93368,Rejected
LN0000051,CUST002394,RM0112,Home Loan,400740,Defaulted
LN0000052,CUST001452,RM0035,Business Loan,215406,Pending
LN0000053,CUST000974,RM0100,Personal Loan,337254,Active
LN0000054,CUST000401,RM0223,Education Loan,300078,Defaulted
LN0000055,CUST001832,RM0021,Home Loan,96515,Active
LN0000056,CUST001051,RM0134,Personal Loan,218242,Rejected
LN0000057,CUST001262,RM0183,Gold Loan,454571,Defaulted
LN0000058,CUST001805,RM0062,Education Loan,163167,Rejected
LN0000059,CUST002312,RM0057,Plot Loan,729784,Approved
LN0000060,CUST001655,RM0136,Education Loan,170374,Closed
LN0000061,CUST000684,RM0170,Personal Loan,80813,Closed
LN0000062,CUST000007,RM0029,Home Loan,148673,Approved
LN0000063,CUST001750,RM0077,Education Loan,656074,Approved
LN0000064,CUST002408,RM0072,Car Loan,127050,Approved
LN0000065,CUST002355,RM0038,Education Loan,455139,Defaulted
LN0000066,CUST001351,RM0041,Business Loan,476148,Defaulted
LN0000067,CUST000264,RM0075,Personal Loan,136213,Defaulted
LN0000068,CUST000483,RM0159,Business Loan,67385,Defaulted
LN0000069,CUST001468,RM0112,Business Loan,307875,Closed
LN0000070,CUST000033,RM0013,Plot Loan,124651,Active
LN0000071,CUST000786,RM0022,Gold Loan,355501,Defaulted
LN0000072,CUST002148,RM0139,Business Loan,166914,Pending
LN0000073,CUST000200,RM0134,Home Loan,182821,Approved
LN0000074,CUST001125,RM0122,Home Loan,350933,Defaulted
LN0000075,CUST001797,RM0096,Gold Loan,146370,Defaulted
LN0000076,CUST001117,RM0005,Home Loan,167083,Pending
LN0000077,CUST001095,RM0212,Personal Loan,144382,Defaulted
LN0000078,CUST001619,RM0219,Business Loan,141564,Rejected
LN0000079,CUST001430,RM0190,Car Loan,199287,Closed
LN0000080,CUST001464,RM0185,Personal Loan,380886,Active
LN0000081,CUST001860,RM0082,Personal Loan,139810,Closed
LN0000082,CUST001519,RM0165,Education Loan,198574,Active
LN0000083,CUST001407,RM0201,Business Loan,272173,Pending
LN0000084,CUST001517,RM0147,Car Loan,112788,Closed
LN0000085,CUST000411,RM0071,Plot Loan,115013,Rejected
LN0000086,CUST002337,RM0113,Business Loan,591849,Pending
LN0000087,CUST000885,RM0186,Gold Loan,307133,Closed
LN0000088,CUST001770,RM0169,Business Loan,222164,Closed
LN0000089,CUST002385,RM0157,Gold Loan,258665,Active
LN0000090,CUST001475,RM0120,Home Loan,55947,Rejected
LN0000091,CUST001864,RM0197,Home Loan,242520,Rejected
LN0000092,CUST002198,RM0045,Car Loan,192469,Active
LN0000093,CUST001108,RM0188,Car Loan,207821,Defaulted
LN0000094,CUST001287,RM0221,Business Loan,139077,Pending
LN0000095,CUST002385,RM0215,Education Loan,66996,Approved
LN0000096,CUST001675,RM0040,Car Loan,92970,Active
LN0000097,CUST001682,RM0055,Car Loan,652147,Defaulted
LN0000098,CUST000893,RM0103,Gold Loan,155086,Rejected
LN0000099,CUST002417,RM0208,Home Loan,175727,Rejected
LN0000100,CUST001393,RM0133,Gold Loan,60829,Active
LN0000101,CUST000105,RM0212,Business Loan,57658,Rejected
LN0000102,CUST000430,RM0010,Car Loan,302589,Pending
LN0000103,CUST002447,RM0136,Gold Loan,204479,Rejected
LN0000104,CUST002369,RM0061,Education Loan,192142,Rejected
LN0000105,CUST000811,RM0125,Car Loan,105711,Approved
LN0000106,CUST002004,RM0170,Plot Loan,323102,Closed
LN0000107,CUST001415,RM0193,Home Loan,86841,Defaulted
LN0000108,CUST001269,RM0059,Car Loan,92128,Rejected
LN0000109,CUST001809,RM0227,Home Loan,173501,Rejected
LN0000110,CUST001457,RM0195,Plot Loan,117452,Defaulted
LN0000111,CUST000629,RM0007,Gold Loan,106861,Rejected
LN0000112,CUST002422,RM0182,Plot Loan,257261,Pending
LN0000113,CUST002390,RM0208,Plot Loan,260520,Defaulted
LN0000114,CUST000682,RM0041,Education Loan,398042,Approved
LN0000115,CUST000602,RM0208,Plot Loan,158156,Defaulted
LN0000116,CUST001118,RM0096,Car Loan,65178,Active
LN0000117,CUST000400,RM0177,Car Loan,113949,Pending
LN0000118,CUST000769,RM0005,Plot Loan,832459,Approved
LN0000119,CUST002430,RM0215,Home Loan,231396,Defaulted
LN0000120,CUST000329,RM0172,Gold Loan,297393,Closed
LN0000121,CUST001094,RM0231,Personal Loan,51477,Active
LN0000122,CUST002082,RM0200,Home Loan,196047,Active
LN0000123,CUST001980,RM0249,Gold Loan,57650,Active
LN0000124,CUST001978,RM0017,Personal Loan,218436,Approved
LN0000125,CUST002115,RM0013,Business Loan,557082,Closed
LN0000126,CUST000663,RM0077,Education Loan,741040,Active
LN0000127,CUST000342,RM0083,Gold Loan,205546,Pending
LN0000128,CUST001025,RM0146,Education Loan,172573,Closed
LN0000129,CUST001378,RM0030,Home Loan,630146,Rejected
LN0000130,CUST002289,RM0049,Education Loan,273932,Pending
LN0000131,CUST000483,RM0237,Education Loan,63420,Defaulted
LN0000132,CUST001645,RM0036,Plot Loan,175369,Rejected
LN0000133,CUST001866,RM0071,Business Loan,104951,Defaulted
LN0000134,CUST002063,RM0050,Education Loan,176901,Closed
LN0000135,CUST001337,RM0123,Personal Loan,171564,Rejected
LN0000136,CUST000107,RM0189,Home Loan,224524,Approved
LN0000137,CUST000356,RM0095,Business Loan,138250,Closed
LN0000138,CUST002470,RM0127,Home Loan,85890,Defaulted
LN0000139,CUST001851,RM0229,Gold Loan,190122,Defaulted
LN0000140,CUST001607,RM0208,Car Loan,404630,Pending
LN0000141,CUST001061,RM0143,Plot Loan,268136,Active
LN0000142,CUST000191,RM0080,Business Loan,132609,Pending
