RM_ID,Product,Sale_Date,Amount
RM0240,ULIP,2019-06-25,29978.0
RM0046,Recurring Deposit,2023-03-18,32953.0
RM0160,Mutual Funds,2020-01-02,
RM0188,Saving Account,2023-08-19,11995.0
RM0068,Recurring Deposit,,29791.0
RM0045,Recurring Deposit,2022-02-03,119625.0
RM0191,Credit Card,2021-11-28,11293.0
RM0177,ULIP,2020-06-28,36071.0
RM0093,Recurring Deposit,2024-12-13,11595.0
RM0042,Fixed Deposit,2025-07-13,33175.0
RM0040,Recurring Deposit,27/12/2022,19475.0
RM0188,Health Insurance,2019-08-30,24532.0
RM0162,Gold Investment,09-26-2022,115022.0
RM0023,Gold Investment,2019-10-02,38639.0
RM0159,Life Insurance,2024-11-22,25996.0
RM0035,Term Insurance,2022-03-14,54499.0
,Health Insurance,2019-09-07,17663.0
RM0155,Life Insurance,2023-07-21,25014.0
RM0186,Current Account,2019-07-01,49510.0
RM0162,Mutual Funds,15/01/2019,23559.0
RM0016,Gold Investment,2020-04-12,66835.0
RM0168,Life Insurance,2020-07-10,43813.0
RM0160,Term Insurance,2019-05-22,83918.0
RM0229,Mutual Funds,2019-06-19,158061.0
RM0247,Mutual Funds,2022-01-16,16153.0
RM0202,Health Insurance,2020-06-06,30373.0
RM0025,Mutual Funds,2025-04-16,29249.0
RM0244,LOAN AGAINST PROPERTY,2026-05-07,18195.0
RM0221,ULIP,30/10/2023,93116.0
RM0102,Current Account,2024-02-18,81330.0
RM0057,Gold Investment,2021-03-21,43123.0
RM0087, Fixed Deposit ,2025-09-12,48584.0
RM0190,Recurring Deposit,2024-10-11,13069.0
RM0029,Saving Account,2023-05-26,50541.0
RM0025,Current Account,2024-06-08,88352.0
RM0032,Credit Card,2025-09-16,52645.0
RM0249,Saving Account,2024-04-16,25415.0
RM0191,Health Insurance,,65063.0
RM0034,Recurring Deposit,2021-01-27,32430.0
RM0240,Term Insurance,10/02/2019,49358.0
RM0183,Current Account,01-29-2021,43429.0
RM0033,Health Insurance,11-17-2023,33996.0
RM0199,Mutual Funds,14/09/2025,73448.0
RM0220,Loan Against Property,2023-07-22,117654.0
RM0239,Life Insurance,15/09/2020,10261.0
RM0238,Loan Against Property,2022-08-09,145615.0
RM0116,ULIP,2022-10-13,45822.0
RM0007,Recurring Deposit,2020-12-22,70320.0
RM0103,Credit Card,2026-04-12,106766.0
RM0170,Recurring Deposit,09/12/2019,41471.0
,Current Account,2023-04-06,
RM0114,Health Insurance,03/02/2021,100082.0
RM0013,Current Account,23/11/2019,19777.0
,Life Insurance,2022-03-04,18668.0
RM0116,Current Account,2019-01-06,63570.0
RM0050,TERM INSURANCE,2024-07-15,112066.0
RM0026,Life Insurance,2023-04-28,121478.0
,Recurring Deposit,27/01/2026,61604.0
RM0018,Life Insurance,2022-04-22,47273.0
RM0137,Loan Against Property,2024-08-09,30127.0
RM0049,Fixed Deposit,05-27-2021,205602.0
RM0180,Term Insurance,2019-12-08,29260.0
,Health Insurance,2019-02-23,78165.0
RM0108,Gold Investment,2021-09-20,47962.0
RM0242,Loan Against Property,19/09/2019,56890.0
RM0009,Life Insurance,08-28-2025,35000.0
,Life Insurance,2026-06-21,
RM0148,Loan Against Property,05-21-2020,177368.0
RM0087,credit card,2025-04-17,52394.0
RM0032,Term Insurance,2022-08-22,148860.0
RM0147,Loan Against Property,,10381.0
RM0016,RECURRING DEPOSIT,2020-01-17,52510.0
RM0080,Health Insurance,2022-02-18,73148.0
RM0055,Credit Card,2025-01-21,78340.0
RM0065,Life Insurance,09-15-2024,127681.0
RM0069,Health Insurance,2021-11-14,10220.0
,Credit Card,2024-04-24,10016.0
RM0036,Current Account,22/05/2024,41957.0
RM0205,Credit Card,24/01/2023,-1000.0
RM0191,Current Account,19/03/2022,11486.0
RM0097,Health Insurance,2023-08-03,193517.0
,Credit Card,2021-05-28,22555.0
RM0048,Term Insurance,07-30-2020,41995.0
RM0071,Credit Card,2023-11-02,13154.0
RM0159,Loan Against Property,2022-12-22,46912.0
RM0022,Health Insurance,04-10-2023,33898.0
RM0076,Credit Card,2023-08-10,12284.0
RM0098,Gold Investment,22/03/2025,30407.0
RM0155, Term Insurance ,2022-02-05,34832.0
RM0247,Saving Account,2022-10-21,239867.0
RM0227,Health Insurance,10-08-2024,21652.0
