RM_ID,Product,Sale_Date,Amount
RM0240,ULIP,2019-06-25 00:00:00.000000,29978
RM0046,Recurring Deposit,2023-03-18 00:00:00.000000,32953
RM0160,Mutual Funds,2020-01-02 00:00:00.000000,24281
RM0188,Saving Account,2023-08-19 00:00:00.000000,11995
RM0068,Recurring Deposit,2024-10-25 10:32:43.362434,29791
RM0045,Recurring Deposit,2022-02-03 00:00:00.000000,119625
RM0191,Credit Card,2021-11-28 00:00:00.000000,11293
RM0177,ULIP,2020-06-28 00:00:00.000000,36071
RM0093,Recurring Deposit,2024-12-13 00:00:00.000000,11595
RM0042,Fixed Deposit,2025-07-13 00:00:00.000000,33175
RM0040,Recurring Deposit,2022-12-27 00:00:00.000000,19475
RM0188,Health Insurance,2019-08-30 00:00:00.000000,24532
RM0162,Gold Investment,2022-09-26 00:00:00.000000,115022
RM0023,Gold Investment,2019-10-02 00:00:00.000000,38639
RM0159,Life Insurance,2024-11-22 00:00:00.000000,25996
RM0035,Term Insurance,2022-03-14 00:00:00.000000,54499
RM0033,Health Insurance,2019-09-07 00:00:00.000000,17663
RM0155,Life Insurance,2023-07-21 00:00:00.000000,25014
RM0186,Current Account,2019-07-01 00:00:00.000000,49510
RM0162,Mutual Funds,2019-01-15 00:00:00.000000,23559
RM0016,Gold Investment,2020-04-12 00:00:00.000000,66835
RM0168,Life Insurance,2020-07-10 00:00:00.000000,43813
RM0160,Term Insurance,2019-05-22 00:00:00.000000,83918
RM0229,Mutual Funds,2019-06-19 00:00:00.000000,158061
RM0247,Mutual Funds,2022-01-16 00:00:00.000000,16153
RM0202,Health Insurance,2020-06-06 00:00:00.000000,30373
RM0025,Mutual Funds,2025-04-16 00:00:00.000000,29249
RM0244,Loan Against Property,2026-05-07 00:00:00.000000,18195
RM0221,ULIP,2023-10-30 00:00:00.000000,93116
RM0102,Current Account,2024-02-18 00:00:00.000000,81330
RM0057,Gold Investment,2021-03-21 00:00:00.000000,43123
RM0087,Fixed Deposit,2025-09-12 00:00:00.000000,48584
RM0190,Recurring Deposit,2024-10-11 00:00:00.000000,13069
RM0029,Saving Account,2023-05-26 00:00:00.000000,50541
RM0025,Current Account,2024-06-08 00:00:00.000000,88352
RM0032,Credit Card,2025-09-16 00:00:00.000000,52645
RM0249,Saving Account,2024-04-16 00:00:00.000000,25415
